feature,mean_abs_shap,rank
aa_000,1.3799047,1
ck_000,1.0149208,2
ci_000,0.7206537,3
ay_008,0.30073032,4
bs_000,0.29749578,5
ay_006,0.27227834,6
cb_000,0.2349278,7
ai_000,0.22459446,8
bk_000,0.21039376,9
cc_000,0.1977945,10
aq_000,0.18304354,11
az_002,0.1763041,12
az_006,0.15994926,13
ag_009,0.15866032,14
bc_000,0.1547497,15
ag_002,0.14949112,16
bi_000,0.14868137,17
bx_000,0.1447051,18
ap_000,0.14074759,19
bd_000,0.12969667,20
ee_005,0.1215944,21
bj_000,0.11823089,22
ay_005,0.11804042,23
ba_008,0.11650948,24
az_001,0.11582138,25
ba_006,0.10308034,26
cs_008,0.10134401,27
al_000,0.09989934,28
ao_000,0.09937729,29
am_0,0.09132041,30
bt_000,0.088985495,31
dp_000,0.08622945,32
cs_000,0.081569426,33
ca_000,0.080674596,34
az_000,0.07949624,35
cs_006,0.07933098,36
cs_007,0.07919503,37
by_000,0.078503855,38
dn_000,0.07065562,39
de_000,0.0680282,40
az_003,0.06654909,41
cn_008,0.06634667,42
cg_000,0.06368892,43
cj_000,0.06094259,44
bz_000,0.060218625,45
ee_007,0.059666067,46
cn_007,0.059609637,47
cn_003,0.05561103,48
cn_000,0.05552758,49
dx_000,0.054758813,50
ag_004,0.05424036,51
db_000,0.053761445,52
cn_002,0.053752724,53
ag_008,0.053378824,54
dd_000,0.052419454,55
cn_006,0.051268395,56
ag_003,0.050139964,57
bb_000,0.049542177,58
ee_008,0.04793302,59
dv_000,0.046495687,60
ba_005,0.04573299,61
aj_000,0.045668293,62
cs_002,0.04405759,63
dt_000,0.043577284,64
be_000,0.04295394,65
cs_003,0.041659374,66
ec_00,0.0409105,67
az_005,0.04085146,68
eb_000,0.04017666,69
ag_001,0.039972577,70
cs_001,0.038890526,71
do_000,0.038513217,72
ac_000,0.037121385,73
bf_000,0.036619253,74
dq_000,0.035678264,75
co_000,0.03508484,76
ee_009,0.03474818,77
ay_000,0.03423835,78
ba_004,0.03388851,79
av_000,0.033761863,80
ag_007,0.03363401,81
bl_000,0.03341466,82
du_000,0.033115745,83
cl_000,0.03228636,84
an_000,0.031620316,85
dr_000,0.030928258,86
cz_000,0.030836768,87
cs_004,0.028851008,88
az_007,0.028747207,89
cn_009,0.028078709,90
ag_006,0.027432565,91
az_004,0.02738324,92
ds_000,0.02722201,93
cu_000,0.026577536,94
cn_001,0.026317807,95
ba_007,0.025950896,96
dy_000,0.025624452,97
ee_006,0.024959618,98
ee_001,0.024650209,99
cf_000,0.024476813,100
bu_000,0.024294976,101
bh_000,0.023927819,102
ay_004,0.023893,103
ee_000,0.023169803,104
ay_002,0.022631032,105
ay_009,0.021702182,106
ee_002,0.020604927,107
at_000,0.020359939,108
ag_005,0.020161865,109
ax_000,0.018541954,110
cx_000,0.018489769,111
dc_000,0.01786913,112
ct_000,0.01751247,113
cp_000,0.017312584,114
ba_002,0.016054185,115
ed_000,0.015918642,116
cv_000,0.015626337,117
cm_000,0.015559862,118
ay_007,0.015276356,119
cn_004,0.015188123,120
ee_003,0.014943407,121
ba_000,0.014540866,122
ah_000,0.01447963,123
bg_000,0.013112279,124
ba_001,0.012922172,125
cn_005,0.01275959,126
ba_003,0.011692367,127
ee_004,0.009989964,128
ba_009,0.009741155,129
cs_005,0.0095866695,130
az_009,0.00922784,131
di_000,0.00836898,132
dg_000,0.008216352,133
ay_001,0.008063095,134
ad_000,0.007317191,135
ce_000,0.0067150467,136
ay_003,0.00574218,137
az_008,0.005501025,138
dh_000,0.005105341,139
bv_000,0.003960324,140
cs_009,0.0025996645,141
cy_000,0.0023280296,142
df_000,0.0017239138,143
da_000,0.0012714514,144
ak_000,0.00093762134,145
ag_000,0.00080924743,146
ar_000,0.00045139497,147
ae_000,0.0004264825,148
dz_000,0.00032174328,149
ea_000,0.00023565676,150
au_000,0.0002119762,151
eg_000,3.6639496e-05,152
as_000,0.0,153
af_000,0.0,154
cd_000,0.0,155
ch_000,0.0,156
cq_000,0.0,157
dj_000,0.0,158
dm_000,0.0,159
dl_000,0.0,160
dk_000,0.0,161
ef_000,0.0,162
