feature,feature_value,shap_value,absolute_shap,rank,risk_probability
ag_002,992400.0,1.1024795,1.1024795,1,0.9998472
ag_001,41162.0,1.0130616,1.0130616,2,0.9998472
aa_000,710406.0,0.8753155,0.8753155,3,0.9998472
ck_000,6531907.2,0.7921312,0.7921312,4,0.9998472
am_0,4651498.0,0.6241936,0.6241936,5,0.9998472
ai_000,36094.0,0.5976709,0.5976709,6,0.9998472
ay_009,60910.0,0.54761744,0.54761744,7,0.9998472
al_000,2861198.0,0.4336713,0.4336713,8,0.9998472
ci_000,35960370.24,0.35247195,0.35247195,9,0.9998472
ee_005,7073672.0,0.33204156,0.33204156,10,0.9998472
az_001,155818.0,0.29168093,0.29168093,11,0.9998472
cn_000,209334.0,0.25495398,0.25495398,12,0.9998472
az_003,480754.0,0.2332868,0.2332868,13,0.9998472
bd_000,36.0,-0.20758133,0.20758133,14,0.9998472
cc_000,42524892.0,0.1820171,0.1820171,15,0.9998472
az_002,229066.0,0.15029608,0.15029608,16,0.9998472
ee_007,6307290.0,-0.14164704,0.14164704,17,0.9998472
cs_006,29118.0,0.13808684,0.13808684,18,0.9998472
bx_000,45143960.0,0.124659374,0.124659374,19,0.9998472
cs_007,0.0,0.120186195,0.120186195,20,0.9998472
ay_008,32259470.0,0.10982152,0.10982152,21,0.9998472
bj_000,7170590.0,0.10761153,0.10761153,22,0.9998472
cs_002,2676364.0,0.10586524,0.10586524,23,0.9998472
dp_000,10296.0,-0.102882385,0.102882385,24,0.9998472
cl_000,4480.0,0.10064501,0.10064501,25,0.9998472
bc_000,22.0,-0.09429697,0.09429697,26,0.9998472
bk_000,327000.0,0.09372468,0.09372468,27,0.9998472
cn_002,10326062.0,-0.076761365,0.076761365,28,0.9998472
az_005,2371038.0,-0.076098785,0.076098785,29,0.9998472
az_000,276666.0,0.07314697,0.07314697,30,0.9998472
ba_009,461640.0,-0.06949942,0.06949942,31,0.9998472
dy_000,0.0,0.06505332,0.06505332,32,0.9998472
ba_005,1811932.0,0.06288079,0.06288079,33,0.9998472
ay_005,0.0,0.062796466,0.062796466,34,0.9998472
bs_000,143540.0,0.061076116,0.061076116,35,0.9998472
ba_006,1456798.0,0.05983328,0.05983328,36,0.9998472
cb_000,431180.0,0.05866678,0.05866678,37,0.9998472
aq_000,4631158.0,0.05782941,0.05782941,38,0.9998472
ee_003,1431196.0,-0.05572302,0.05572302,39,0.9998472
cs_000,36256.0,-0.05553641,0.05553641,40,0.9998472
ba_003,5365382.0,0.048958663,0.048958663,41,0.9998472
bt_000,710405.74,0.04791416,0.04791416,42,0.9998472
ag_003,6197962.0,0.0457589,0.0457589,43,0.9998472
cj_000,0.0,-0.04563368,0.04563368,44,0.9998472
dx_000,0.0,0.043683674,0.043683674,45,0.9998472
ec_00,16056.8,-0.04247238,0.04247238,46,0.9998472
az_007,0.0,0.039597202,0.039597202,47,0.9998472
bi_000,3968208.0,-0.039307352,0.039307352,48,0.9998472
ay_006,79126.0,-0.0379638,0.0379638,49,0.9998472
ba_008,698332.0,0.037055332,0.037055332,50,0.9998472
by_000,316720.0,0.036846936,0.036846936,51,0.9998472
dn_000,474612.0,0.035240013,0.035240013,52,0.9998472
cn_007,43368.0,-0.033467934,0.033467934,53,0.9998472
bz_000,16190.0,-0.03218493,0.03218493,54,0.9998472
dq_000,0.0,0.031737544,0.031737544,55,0.9998472
dt_000,26516.0,-0.029384663,0.029384663,56,0.9998472
cs_008,0.0,0.027625682,0.027625682,57,0.9998472
cs_001,7334.0,-0.027177412,0.027177412,58,0.9998472
ba_002,8267294.0,0.0270318,0.0270318,59,0.9998472
cn_005,2428294.0,-0.026970124,0.026970124,60,0.9998472
ba_007,1407906.0,-0.026001148,0.026001148,61,0.9998472
ao_000,28113202.0,-0.025470978,0.025470978,62,0.9998472
ay_000,0.0,-0.024622025,0.024622025,63,0.9998472
cm_000,15176.0,-0.024527207,0.024527207,64,0.9998472
cn_003,15718988.0,-0.0241616,0.0241616,65,0.9998472
ba_000,7025300.0,-0.023985028,0.023985028,66,0.9998472
aj_000,0.0,-0.02343718,0.02343718,67,0.9998472
dr_000,0.0,0.021806132,0.021806132,68,0.9998472
cf_000,2.0,-0.021701122,0.021701122,69,0.9998472
ag_007,188152.0,-0.02061628,0.02061628,70,0.9998472
bf_000,2.0,0.02016899,0.02016899,71,0.9998472
ag_005,15816114.0,-0.020166092,0.020166092,72,0.9998472
dv_000,660842.0,-0.019086778,0.019086778,73,0.9998472
an_000,31229648.0,-0.018832268,0.018832268,74,0.9998472
ag_008,7022.0,0.018453749,0.018453749,75,0.9998472
ee_008,139576.0,-0.018397,0.018397,76,0.9998472
ds_000,188072.0,-0.017287986,0.017287986,77,0.9998472
ag_006,3964520.0,-0.017270813,0.017270813,78,0.9998472
ba_001,13126716.0,-0.017087033,0.017087033,79,0.9998472
ay_004,0.0,-0.01677589,0.01677589,80,0.9998472
eb_000,2325020.0,-0.016195707,0.016195707,81,0.9998472
be_000,110.0,0.015468131,0.015468131,82,0.9998472
ay_002,0.0,-0.015321089,0.015321089,83,0.9998472
ay_007,10125386.0,-0.014692507,0.014692507,84,0.9998472
cz_000,202.0,-0.013916024,0.013916024,85,0.9998472
at_000,0.0,0.013703867,0.013703867,86,0.9998472
bb_000,45269186.0,-0.013597348,0.013597348,87,0.9998472
bl_000,347600.0,-0.013273681,0.013273681,88,0.9998472
az_006,4.0,-0.012768505,0.012768505,89,0.9998472
cp_000,0.0,-0.012516008,0.012516008,90,0.9998472
cn_008,2902.0,-0.012011456,0.012011456,91,0.9998472
cs_003,3312138.0,0.011840547,0.011840547,92,0.9998472
ap_000,11169672.0,0.011723775,0.011723775,93,0.9998472
ee_009,0.0,0.011704141,0.011704141,94,0.9998472
ee_002,2832682.0,-0.011574343,0.011574343,95,0.9998472
co_000,8.0,-0.0113487905,0.0113487905,96,0.9998472
ct_000,210.0,-0.010930861,0.010930861,97,0.9998472
ee_004,4175258.0,-0.010808493,0.010808493,98,0.9998472
cs_004,6887492.0,0.008951163,0.008951163,99,0.9998472
cn_009,4668.0,-0.008696804,0.008696804,100,0.9998472
ca_000,25436.0,-0.0086773485,0.0086773485,101,0.9998472
ed_000,18878.0,-0.0077774324,0.0077774324,102,0.9998472
do_000,43064.0,0.0076704286,0.0076704286,103,0.9998472
cs_005,29576190.0,-0.007287094,0.007287094,104,0.9998472
ay_003,0.0,-0.007174313,0.007174313,105,0.9998472
ee_001,4705646.0,0.0068994444,0.0068994444,106,0.9998472
bh_000,689114.0,-0.006623708,0.006623708,107,0.9998472
du_000,5318360.0,0.0065899566,0.0065899566,108,0.9998472
de_000,312.0,0.006503788,0.006503788,109,0.9998472
ag_009,130.0,0.0064317193,0.0064317193,110,0.9998472
bv_000,45269186.0,-0.0063118762,0.0063118762,111,0.9998472
ba_004,2903592.0,0.006227441,0.006227441,112,0.9998472
bg_000,19768224.0,-0.0060524493,0.0060524493,113,0.9998472
ee_000,6750846.0,0.005757364,0.005757364,114,0.9998472
cs_009,0.0,-0.005450995,0.005450995,115,0.9998472
az_009,0.0,0.0053437003,0.0053437003,116,0.9998472
ee_006,9108726.0,-0.005096764,0.005096764,117,0.9998472
ax_000,84.0,-0.0044847257,0.0044847257,118,0.9998472
az_008,0.0,0.0043761167,0.0043761167,119,0.9998472
ah_000,19768224.0,0.0039645187,0.0039645187,120,0.9998472
cg_000,46.0,-0.0038743163,0.0038743163,121,0.9998472
cx_000,44465.0,-0.003660069,0.003660069,122,0.9998472
cn_006,264472.0,0.0036490234,0.0036490234,123,0.9998472
ad_000,126.0,-0.0036336796,0.0036336796,124,0.9998472
ay_001,0.0,-0.00351551,0.00351551,125,0.9998472
dc_000,1734472.0,-0.0033878663,0.0033878663,126,0.9998472
db_000,0.0,0.0031292618,0.0031292618,127,0.9998472
dd_000,3490.0,0.003009178,0.003009178,128,0.9998472
cu_000,278.0,0.0028600218,0.0028600218,129,0.9998472
cn_004,10312690.0,0.0024968714,0.0024968714,130,0.9998472
av_000,698.0,-0.0023386492,0.0023386492,131,0.9998472
cv_000,1181117.0,0.0022703286,0.0022703286,132,0.9998472
dg_000,0.0,-0.0018838152,0.0018838152,133,0.9998472
ce_000,0.0,-0.0016916986,0.0016916986,134,0.9998472
cn_001,3214114.0,-0.0016823946,0.0016823946,135,0.9998472
az_004,39011546.0,0.001200718,0.001200718,136,0.9998472
ag_000,28.0,0.0011084948,0.0011084948,137,0.9998472
ac_000,132.0,0.0010839856,0.0010839856,138,0.9998472
di_000,0.0,-0.000978504,0.000978504,139,0.9998472
ak_000,0.0,0.00077835424,0.00077835424,140,0.9998472
bu_000,45269186.0,-0.0007687502,0.0007687502,141,0.9998472
da_000,0.0,0.00062819215,0.00062819215,142,0.9998472
ag_004,15317402.0,-0.0005685156,0.0005685156,143,0.9998472
ar_000,0.0,0.00047635092,0.00047635092,144,0.9998472
df_000,0.0,-0.0004304111,0.0004304111,145,0.9998472
cy_000,0.0,-0.00038682387,0.00038682387,146,0.9998472
dh_000,0.0,0.00022880646,0.00022880646,147,0.9998472
ae_000,0.0,-0.00021576736,0.00021576736,148,0.9998472
eg_000,0.0,7.151546e-05,7.151546e-05,149,0.9998472
au_000,0.0,-3.548205e-05,3.548205e-05,150,0.9998472
ea_000,0.0,3.2141514e-05,3.2141514e-05,151,0.9998472
dz_000,0.0,-1.3189456e-06,1.3189456e-06,152,0.9998472
as_000,0.0,0.0,0.0,153,0.9998472
af_000,0.0,0.0,0.0,154,0.9998472
cd_000,1209600.0,0.0,0.0,155,0.9998472
ch_000,0.0,0.0,0.0,156,0.9998472
cq_000,45269186.0,0.0,0.0,157,0.9998472
dj_000,0.0,0.0,0.0,158,0.9998472
dm_000,0.0,0.0,0.0,159,0.9998472
dl_000,0.0,0.0,0.0,160,0.9998472
