threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
0.1,0.3922,0.955,0.556,296,9,191,11504
0.15,0.4381,0.955,0.6006,245,9,191,11555
0.2,0.4751,0.955,0.6346,211,9,191,11589
0.25,0.5026,0.955,0.6586,189,9,191,11611
0.3,0.5235,0.945,0.6738,172,11,189,11628
0.35,0.5565,0.935,0.6978,149,13,187,11651
0.4,0.5736,0.935,0.711,139,13,187,11661
0.45,0.5968,0.925,0.7255,125,15,185,11675
0.5,0.6216,0.92,0.7419,112,16,184,11688
0.55,0.6512,0.915,0.7609,98,17,183,11702
0.6,0.6753,0.915,0.7771,88,17,183,11712
0.65,0.7087,0.9,0.793,74,20,180,11726
0.7,0.7257,0.86,0.7872,65,28,172,11735
0.75,0.7478,0.845,0.7934,57,31,169,11743
0.8,0.7915,0.835,0.8127,44,33,167,11756
0.85,0.8079,0.82,0.8139,39,36,164,11761
0.9,0.8298,0.78,0.8041,32,44,156,11768
